Chinese,English
購物中心,Shopping Mall
購物折扣,Shopping Discount
賽車,Racing Car / Auto Racing
韓式料理,Korean Cuisine
韓國流行音樂,K-Pop (Korean Pop Music)
韓國電視劇,Korean Drama (K-Drama)
禮物,Gift / Present
禮品店,Gift Shop
簡餐館,Casual Dining Restaurant
職涯,Career
職涯和工作機會,Career and Job Opportunities
職涯和就業,Career and Employment
職涯發展,Career Development
職業教育,Vocational Education
豐田汽車,Toyota
醫學院,Medical School
雜貨店,Grocery Store
雞肉,Chicken
雞尾酒,Cocktail
騎機車,Motorcycle Riding
寵物,Pet
寵物店,Pet Store
寵物食品,Pet Food
寵物領養,Pet Adoption
寵愛自己,Self-Indulgence / Treating Yourself
懷舊,Nostalgia
攀岩,Rock Climbing
櫥櫃,Cupboard / Cabinet
爆紅影片,Viral Video
獸醫學,Veterinary Medicine
繪畫,Painting / Drawing
藝術和音樂,Art and Music
藝術品,Artwork
藝術展覽,Art Exhibition
證券,Securities
證券交易所,Stock Exchange
轎車,Sedan
寶石,Gemstone / Jewel
籃球,Basketball
麵包,Bread
攝影,Photography
蘭蔻,Lancôme
護理教育,Nursing Education
護膚保養,Skincare
護膚品牌,Skincare Brand
護髮,Hair Care
鐵人三項,Triathlon
露台,Terrace / Balcony
露營,Camping
露營車,Camper Van / RV
顧客服務,Customer Service
顧客關係管理,Customer Relationship Management (CRM)
顧問諮詢業,Consulting Industry
魔物獵人,Monster Hunter (Game)
歡樂時光,Happy Hour
襯衫,Shirt
體育博彩,Sports Betting
體育新聞和內容,Sports News and Content
體操,Gymnastics
體操項目,Gymnastics Events
釀造,Brewing
釀造廠,Brewery
觀賞植物,Ornamental Plant
鑽孔,Drilling / Boring
鑽石,Diamond
31冰淇淋,Baskin-Robbins
3M公司,3M Company
591房屋交易網,591 Real Estate Network
7月11日,July 11th
BMW 5系列,BMW 5 Series
C語言,C Programming Language
Google地圖,Google Maps
IT諮詢,IT Consulting
LG電子,LG Electronics
momo購物網,momo Shopping Network
MUJI 無印良品,MUJI
NBA全明星賽,NBA All-Star Game
Workinghouse 生活工場,Workinghouse Lifestyle Store
七龍珠,Dragon Ball
三宅一生,Issey Miyake
三越百貨,Mitsukoshi Department Store
也必須符合：興趣：591房屋交易網,Also Match: Interest: 591 Real Estate
叉車,Forklift
土地主,Landowner
土壤,Soil
大坑風景區8,Dakeng Scenic Area No.8
大創百貨,Daiso Japan
大潤發,RT-Mart
大學畢業年分：2017-2028,College Graduation Year: 2017-2028
小吃,Street Food / Snacks
小吃店,Snack Shop
小提琴,Violin
工具箱,Toolbox
已婚,Married
不與家人同住,Not Living with Family
不鏽鋼,Stainless Steel
中央警察大學,Central Police University
中華文化,Chinese Culture
元旦,New Year's Day
公平貿易,Fair Trade
公共安全,Public Safety
公共財政,Public Finance
公共圖書館,Public Library
公共廣播,Public Broadcasting
公園,Park
公園與遊憩,Parks and Recreation
分子生物學,Molecular Biology
化學,Chemistry
化學工業,Chemical Industry
化學化工新聞,Chemical and Engineering News
天文學,Astronomy
天氣,Weather
天氣預報,Weather Forecast
天貓,Tmall
日立,Hitachi
日式旅館,Japanese Inn (Ryokan)
日語,Japanese Language
比爾·蓋茨,Bill Gates
水利產業,Water Conservancy Industry
水果沙拉,Fruit Salad
水泥,Cement
水肺潛水,Scuba Diving
水族飼養,Aquarium Keeping
水處理,Water Treatment
水質,Water Quality
火鍋,Hot Pot
付費電視,Pay Television
代工生產,Contract Manufacturing
以英語為第二語言,English as a Second Language
充電器,Charger
出口貿易,Export Trade
出租車,Taxi
加工出口工廠,Export Processing Factory
半導體,Semiconductor
卡拉OK,Karaoke
古着,Vintage Clothing
古董,Antiques
古蹟,Historical Sites
可樂,Cola
台灣菜,Taiwanese Cuisine
台灣電視劇,Taiwanese TV Drama
司法科學,Forensic Science
外交政策,Foreign Policy
外判,Outsourcing
外語,Foreign Language
市場研究,Market Research
市場調查,Market Survey
平鋪磚瓦,Floor Tiles
本田CR-V,Honda CR-V
民俗音樂,Folk Music
民俗學,Folklore
犯罪心理,Criminal Psychology
犯罪學,Criminology
生命,Life
生命延續,Life Extension
生命科學,Life Sciences
生物化學,Biochemistry
生物可分解塑膠,Biodegradable Plastics
生物技術,Biotechnology
生產率,Productivity
用戶體驗設計,User Experience Design (UX)
田徑,Track and Field
甲骨文公司,Oracle Corporation
石油,Petroleum / Oil
石英,Quartz
立法機構,Legislature
立槳衝浪,Stand-Up Paddleboarding (SUP)
交通,Transportation
企業資源計劃,Enterprise Resource Planning (ERP)
企業孵化器,Business Incubator
伊索,Aesop (Skincare Brand)
伊萊克斯,Electrolux
光伏陣列,Photovoltaic Array
光導纖維,Optical Fiber
全球資訊網,World Wide Web
全價值營養,Full Value Nutrition
共用工作空間,Co-Working Space
吉卜力工作室,Studio Ghibli
地緣政治學,Geopolitics
多肉植物,Succulents
多益,TOEIC
好萊塢,Hollywood
安裝與維修服務,Installation and Repair Services
成衣,Ready-to-Wear Clothing
托福,TOEFL
有軌電車,Tram
次文化,Subculture
百威,Budweiser
百葉簾,Venetian Blinds
米其林,Michelin
老爺車,Classic / Vintage Car
自由潛水,Freediving
自助餐,Buffet
自釀啤酒,Home Brewing Beer
行政服務,Administrative Services
西門子公司,Siemens
低成本航空公司,Low-Cost Airline
住宿加早餐酒店,Bed and Breakfast (B&B)
免稅商店,Duty-Free Shop
即時成像相機,Instant Camera
即時通訊,Instant Messaging
即將結婚,Engaged to Be Married
坎城電影節,Cannes Film Festival
批發及零售界功能界別,Wholesale and Retail Functional Constituency
技術員,Technician
抗噪耳機,Noise-Canceling Headphones
改裝高速汽車,Modified Sports Car
材料科學,Materials Science
每日體育報,Daily Sports News
汽車展覽,Auto Show
汽油,Gasoline
災害管理,Disaster Management
私人公司,Private Company
私人銀行服務,Private Banking Services
私募基金,Private Equity Fund
育兒,Parenting
育兒與教育,Parenting and Education
角蛋白,Keratin
車隊管理,Fleet Management
防毒軟體,Antivirus Software
防蚊液,Mosquito Repellent
亞瑟士,ASICS
佳士得,Christie's (Auction House)
佳能EOS系列,Canon EOS Series
佳能企業,Canon Inc.
供應鏈,Supply Chain
刺繡,Embroidery
和牛,Wagyu Beef
咖啡因,Caffeine
固定翼飛機,Fixed-Wing Aircraft
屈臣氏個人護理店,Watsons Personal Care Store
底片,Film (Photography)
延繩捕魚,Longlining (Fishing)
弦樂器,String Instruments
房地產相關,Real Estate Related
房客,Tenant
拍賣,Auction
林業,Forestry
氛圍音樂,Ambient Music
油畫,Oil Painting
法律服務,Legal Services
法律與秩序,Law and Order
法院,Court
法國葡萄酒,French Wine
物理及社會科學,Physical and Social Sciences
物聯網,Internet of Things (IoT)
玩命關頭,Fast and Furious
直效營銷,Direct Marketing
知識,Knowledge
社交名流,Social Celebrity / Elite
社交媒體優化,Social Media Optimization (SMO)
社交網路遊戲,Social Network Games
社區和社會服務,Community and Social Services
社會政策,Social Policy
空氣凈化器,Air Purifier
花旗美邦,Citigroup Smith Barney
金球奬,Golden Globe Awards
金融分析,Financial Analysis
金融經濟學,Financial Economics
金屬,Metal
金屬蕊,Metal Core
長榮航空,EVA Air
門戶網站,Web Portal
門票,Ticket / Admission
保全,Security Services
保時捷,Porsche
保時捷卡宴,Porsche Cayenne
保養,Maintenance / Skincare
保齡球,Bowling
俠盜獵車手系列,Grand Theft Auto (GTA) Series
信息系統安全認證專家,CISSP
前菜,Appetizer
品質保證,Quality Assurance
哈根達斯,Haagen-Dazs
哈曼卡頓,Harman Kardon
急凍食品,Frozen Food
拼圖,Jigsaw Puzzle
挖土機,Excavator
政治經濟學,Political Economy
政治學,Political Science
政策,Policy
柏林國際電影節,Berlin International Film Festival (Berlinale)
柔道,Judo
玻璃,Glass
珊瑚,Coral
珍珠,Pearl
珍珠奶茶,Bubble Tea
砌體結構,Masonry Structure
研究領域：Biomedical engineering,Research Field: Biomedical Engineering
科技傳播學,Science and Technology Communication
紀念物保存,Monument Preservation
約翰走路,Johnnie Walker
紅牛能量飲料,Red Bull Energy Drink
美妝新聞,Beauty News
美津濃,Mizuno
美國疾病控制與預防中心,U.S. CDC
美國運通,American Express
美國銀行,Bank of America
美術史,Art History
英式早餐,English Breakfast
英特爾,Intel
英偉達,NVIDIA
計程車司機,Taxi Driver
計算與數學,Computing and Mathematics
計算機動畫,Computer Animation
計算機輔助設計,Computer-Aided Design (CAD)
軍人節,Veterans Day / Military Day
迪卡儂,Decathlon
音樂類型,Music Genre
風力發動機,Wind Turbine
風冷,Air Cooling
風能,Wind Energy
飛行常客獎勵計劃,Frequent Flyer Program
飛利浦,Philips
飛鏢,Darts
食品加工,Food Processing
食品保存,Food Preservation
食品產業,Food Industry
食品與餐飲,Food and Beverage
首映,Film Premiere
倍耐力,Pirelli
凈水器,Water Purifier
剛剛新婚,Newly Married
員林,Yuanlin (Changhua Taiwan)
哲學,Philosophy
娛樂,Entertainment
娛樂周刊,Entertainment Weekly
宮崎駿,Hayao Miyazaki
家庭劇院,Home Theater
家樂福,Carrefour
展覽館,Exhibition Hall
席夢思,Simmons (Mattress Brand)
旅遊平安保險,Travel Insurance
旅遊指南,Travel Guide
旅遊頻道,Travel Channel
時間管理,Time Management
書法,Calligraphy
桌球,Table Tennis / Ping-Pong
桑拿,Sauna
氣象雷達,Weather Radar
浮潛,Snorkeling
消費電子展,Consumer Electronics Show (CES)
特斯拉S型,Tesla Model S
病毒營銷,Viral Marketing
真空包裝,Vacuum Packaging
神經科學,Neuroscience
納斯達克100指數,NASDAQ 100 Index
紗線,Yarn
紡織工業,Textile Industry
紡織品,Textile
索尼,Sony
索尼α系列,Sony Alpha Series
索尼影視娛樂,Sony Pictures Entertainment
航空公司,Airline
航空太空工程,Aerospace Engineering
航空器,Aircraft
草本茶,Herbal Tea
財政預算案,Financial Budget
財產保險,Property Insurance
退休保險,Retirement Insurance
配電系統,Power Distribution System
酒店管理學,Hotel Management
酒館,Tavern / Pub
除濕機,Dehumidifier
高效速成-台中-商務人士,Fast-Track Taichung Business People
高階管理人員,Senior Management / C-Suite
高爾夫愛好者,Golf Enthusiast
健康教育,Health Education
健康照護與醫療服務,Healthcare and Medical Services
副總經理,Deputy General Manager
區經理,Regional Manager
商用車輛,Commercial Vehicle
商務人士,Business Professional
商業決策者,Business Decision Maker
商業與金融,Business and Finance
啤酒節,Beer Festival / Oktoberfest
國土安全,Homeland Security
國家安全,National Security
國家藝廊,National Gallery
國際貿易,International Trade
國際關係學,International Relations
國際觀光振興機構,Japan National Tourism Organization (JNTO)
基本英語,Basic English
基因工程,Genetic Engineering
基於組件的軟體工程,Component-Based Software Engineering
堅果,Nuts
婚禮規劃,Wedding Planning
婚禮歌手,Wedding Singer
專業學位,Professional Degree
崇光百貨,SOGO Department Store
康是美,Cosmed
情人節,Valentine's Day
捷安特,Giant (Bicycle Brand)
排屋,Townhouse
推理小說,Mystery Novel / Detective Fiction
教育,Education
教育和圖書館,Education and Libraries
教育程度：碩士學位,Education Level: Master's Degree
旋轉式刮鬍刀,Rotary Shaver
曼秀雷敦,Mentholatum
梅賽德斯-賓士S級,Mercedes-Benz S-Class
淘寶網,Taobao
淡水龍蝦,Freshwater Crayfish
清潔與維護服務,Cleaning and Maintenance Services
焊接,Welding
現代主義,Modernism
現金,Cash
現金回饋網站,Cashback Website
理工學院,Polytechnic Institute
產品經理,Product Manager
設施管理,Facilities Management
責任保險,Liability Insurance
通信工程,Telecommunications Engineering
釣竿,Fishing Rod
陶瓷器,Ceramics / Porcelain
陶器,Pottery
魚油,Fish Oil
麻將,Mahjong
傑尼亞,Ermenegildo Zegna
創新科技,Innovative Technology
博士學位,Doctoral Degree (PhD)
博雅教育,Liberal Arts Education
報稅服務和軟體,Tax Filing Services and Software
壺鈴,Kettlebell
富士膠片,Fujifilm
富時100指數,FTSE 100 Index
復古遊戲,Retro Gaming
惠普,HP (Hewlett-Packard)
插花,Flower Arranging / Ikebana
插畫,Illustration
替代能源,Alternative Energy
森林生態學,Forest Ecology
植村秀,Shu Uemura
植物園,Botanical Garden
無印良品,MUJI
無線區域網,Wireless LAN / Wi-Fi
發動機,Engine / Motor
發電,Power Generation
硬體,Hardware
結構工程,Structural Engineering
絲綢,Silk
華語流行音樂,Mandopop
虛幻引擎,Unreal Engine
街機,Arcade Game
街頭健身,Street Workout / Calisthenics
註冊會計師,Certified Public Accountant (CPA)
超威半導體,AMD (Advanced Micro Devices)
超級馬利奧系列,Super Mario Series
跆拳道,Taekwondo
跑步機,Treadmill
開放原始碼軟體,Open Source Software
雅高達,Agoda
雲存儲,Cloud Storage
飲食業,Food and Beverage Industry
傳統,Tradition
奧運會項目,Olympic Events
媽媽寶寶-懷孕,Mother and Baby - Pregnancy
微星科技,MSI (Micro-Star International)
微軟,Microsoft
愛奇藝,iQIYI
感情狀況：已婚,Relationship Status: Married
感情狀況：單身,Relationship Status: Single
新家,New Home
新浪潮,New Wave
會計系統,Accounting System
業務,Business / Sales
業務過程,Business Process
極簡主義,Minimalism
溫室,Greenhouse
滑浪風帆,Windsurfing
滙豐,HSBC
瑞銀集團,UBS
當代古典音樂,Contemporary Classical Music
萬寶龍,Montblanc
葡萄園,Vineyard
詩詞,Poetry
資金,Funding / Capital
資訊科技和技術服務,Information Technology Services
跨年日,New Year's Eve
跨界休旅車,Crossover SUV
跨國公司,Multinational Corporation
農村,Rural Area
農家樂,Agritourism / Farm Stay
農業工程,Agricultural Engineering
農業科學,Agricultural Science
農學,Agronomy
遊程承攬業,Tour Operation
遊樂場,Amusement Park
遊戲引擎,Game Engine
遊戲設計,Game Design
遊戲開發者,Game Developer
運氣,Luck
運動和媒體,Sports and Media
運動相機,Action Camera
運動科學,Sports Science
運輸與搬運,Transportation and Logistics
道路,Road
道路運輸,Road Transport
道瓊斯工業平均指數,Dow Jones Industrial Average
鉤針編織,Crochet
零部件市場,Aftermarket Parts
電力,Electric Power
電子工程,Electronic Engineering
電光源,Electric Light Source
電池,Battery
電動機車,Electric Scooter
電視台,TV Station
電視聯播網,TV Network
電腦運算,Computing
預測分析,Predictive Analytics
圖形處理器,GPU (Graphics Processing Unit)
圖書館,Library
圖像編輯,Image Editing
團購,Group Buying
實習醫生,Medical Intern / Resident
實驗室,Laboratory
暢貨中心,Outlet Mall
歌帝梵巧克力,Godiva Chocolate
漁具,Fishing Gear / Tackle
漁業,Fishing Industry / Fisheries
疑犯追蹤,Person of Interest (TV Show)
福匯,FXCM (Forex Platform)
管理諮詢,Management Consulting
綜合企業,Conglomerate
綠色建築,Green Building
網路名人,Internet Celebrity / Influencer
網路社區,Online Community
網路聊天,Online Chat
網路應用程序,Web Application
網路隱私,Internet Privacy
網際網路服務供應商,Internet Service Provider (ISP)
蒙台梭利教育法,Montessori Method
製片公司,Film Production Company
製冷,Refrigeration
製造,Manufacturing
語言,Language
語言教育,Language Education
語言學校,Language School
輕旅行,Light Travel / Short Trip
遠離家鄉,Away from Hometown
領英,LinkedIn
價格,Price
審計,Audit
寬頻,Broadband
廣播,Broadcasting / Radio
影片分享網站,Video Sharing Website
影音俱樂部,Video / Audio Club
摩根大通,JPMorgan Chase
撞球,Billiards / Pool
數字藝術,Digital Art
數位單眼相機,DSLR Camera
數碼印刷,Digital Printing
數學,Mathematics
數據,Data
數據挖掘,Data Mining
樂天,Rakuten
樂屋網,Rakuya Real Estate
標準普爾500指數,S&P 500 Index
歐舒丹,L'Occitane
歐樂B,Oral-B
熱門話題,Trending Topics
熱量,Calories
編織,Knitting / Weaving
衛生政策研究,Health Policy Research
衛生紙,Toilet Paper / Tissue
衛生學,Hygiene
衛星導航系統,Satellite Navigation System (GPS)
課外活動,Extracurricular Activities
豬肉,Pork
質量控制,Quality Control
質感設計,Quality / Textured Design
銷售時點情報系統,Point of Sale (POS) System
養殖漁業,Aquaculture
駕駛執照,Driver's License
壁紙,Wallpaper
壁球,Squash (Sport)
學生會,Student Union
學徒,Apprentice
學校：臺灣警察專科學校,School: Taiwan Police College
學區,School District
學術研討會,Academic Conference
學術期刊,Academic Journal
戰略計劃,Strategic Plan
橄欖油,Olive Oil
機油,Engine Oil / Motor Oil
機械加工,Machining
機場,Airport
機場貴賓室,Airport Lounge
機器,Machine
機器人,Robot
機器人學,Robotics
燒牛肉,Roast Beef
親子天下,CommonWealth Parenting Magazine
輸電系統,Power Transmission System
輸電網路,Power Grid Network
辦公室套件,Office Suite
遺傳學,Genetics
鋼琴,Piano
隨選列印,Print on Demand
餐具,Cutlery / Tableware
餐酒,Table Wine
儲蓄互助社,Credit Union
勵志演講人,Motivational Speaker
應用科學,Applied Sciences
戴森,Dyson
營建管理,Construction Management
營養主義,Nutritionism
營養素,Nutrients
縫紉機,Sewing Machine
聯合國兒童基金會,UNICEF
薪資管理服務,Payroll Management Services
螺釘旋具,Screwdriver
購屋,Home Purchase
鍍膜,Coating / Film Coating
鍵盤樂器,Keyboard Instrument
鮪魚,Tuna
鮭魚,Salmon
擴大,Expansion
擴增實境,Augmented Reality (AR)
簡單生活,Simple Life
職稱：區經理,Job Title: Regional Manager
薩爾達傳說,The Legend of Zelda
藍牙,Bluetooth
醬汁,Sauce
顏色,Color
寵物保險,Pet Insurance
攀石,Rock Climbing
獸醫,Veterinarian
簿記,Bookkeeping
繪本,Picture Book
羅技,Logitech
藝術,Art
藝術攝影,Art Photography
鏡頭,Camera Lens
蘇富比,Sotheby's
蘋果零售店,Apple Retail Store
灌溉,Irrigation
鐵路運輸,Railway Transport
露臺,Terrace / Patio
纖維,Fiber
體育,Sports / Physical Education
觀鳥,Birdwatching
生產率,Productivity
直銷,Direct Sales / MLM
社交名流,Social Celebrity / Elite
管理,Management
釣魚,Fishing
攝影師,Photographer
彰化市 家俱興趣 23-65,Changhua City Furniture Interest 23-65
政府員工（全球）,Government Employee (Global)
生活要事：不與家人同住,Life Events: Not Living with Family
美食家（美食和餐飲）,Foodie (Food and Dining)
大型企業對企業（B2B）企業員工（500 名以上員工）,Large B2B Enterprise Employee (500+ Employees)
納入：興趣：Outdoor Living,Include Interest: Outdoor Living
生產率,Productivity
職業&興趣：工廠,Occupation and Interest: Factory
資,Capital / Resources
業務,Sales / Business
擴大+591,Expansion + 591 Real Estate
機能）,Functional Performance
折扣卡,Discount Card (Coupon)
折扣和購物回饋,Discounts and Shopping Cashback
刪私人銀行服務,Private Banking Services
銀 (金屬,Silver (Metal)
收藏（興趣,Collecting (Hobby)
俱樂部和夜生活,Club and Nightlife
夜生活,Nightlife
夜店,Nightclub
眉毛,Eyebrow (Body Part)
職稱：Divemaster,Job Title: Divemaster
職稱：Doctor,Job Title: Doctor
職稱：Medical Sales Representative,Job Title: Medical Sales Representative
職稱：Sales Supervisor,Job Title: Sales Supervisor
職稱：Teacher,Job Title: Teacher
職稱：UI & UX Designer & Developer,Job Title: UI and UX Designer and Developer
心理（身體部位,Psychology (Body Part)
也必須符合：興趣：房屋,Also Match: Interest: Housing
也必須符合：房屋,Also Match: Housing
